model,ctx,arm,beta_greedy,overlap_t1,positions,prompts
dense,16384,ls_2,0.9488,0.9368,1152,12
dense,16384,pr24,0.4158,0.3983,1152,12
dense,16384,ls_3,0.9366,0.941,1152,12
dense,16384,pr50u,0.5998,0.6076,1152,12
dense,16384,ls_4,0.9444,0.9436,1152,12
dense,16384,ls_5,0.954,0.9436,1152,12
dense,16384,ls_6,0.947,0.937,1152,12
dense,16384,ls_7,0.934,0.9311,1152,12
dense,16384,ls_8,0.9271,0.9308,1152,12
dense,16384,ls_9,0.921,0.9132,1152,12
dense,16384,ls_10,0.9219,0.9227,1152,12
dense,16384,ls_11,0.9314,0.9275,1152,12
dense,16384,ls_12,0.9358,0.93,1152,12
dense,16384,ls_13,0.9219,0.92,1152,12
dense,16384,ls_14,0.9219,0.9208,1152,12
dense,16384,ls_15,0.9175,0.9179,1152,12
dense,16384,ls_16,0.9262,0.9232,1152,12
dense,16384,ls_17,0.9219,0.9256,1152,12
dense,16384,ls_18,0.8872,0.8931,1152,12
dense,16384,ls_19,0.8785,0.8799,1152,12
dense,16384,ls_20,0.8559,0.8634,1152,12
dense,16384,ls_21,0.8698,0.8594,1152,12
dense,16384,ls_22,0.842,0.844,1152,12
dense,16384,ls_23,0.8359,0.8441,1152,12
dense,16384,ls_24,0.8377,0.8372,1152,12
dense,16384,ls_25,0.8455,0.8369,1152,12
dense,16384,ls_g_2-5-6,0.849,0.8511,1152,12
dense,16384,ls_g_2-3-4-5-6-7-12,0.5069,0.5041,1152,12
dense,16384,ls_na_2-5-7-9-12-14-16,0.4349,0.4358,1152,12
dense,16384,ls_p_2-4-5,0.855,0.8565,1152,12
dense,16384,ls_p_8-17-23,0.7535,0.7487,1152,12
dense,16384,ls_p_4-12-19,0.8186,0.8154,1152,12
dense,16384,ls_p_2-4-5-6-12,0.7578,0.7495,1152,12
dense,16384,ls_p_3-7-13-18-22,0.572,0.5753,1152,12
dense,16384,ls_p_3-6-10-14-17-21-24,0.4644,0.4445,1152,12
dense,16384,ls_p_17-19-20-21-22-23-24,0.2222,0.165,1152,12
dense,16384,ls_p_3-11-20,0.7786,0.7926,1152,12
dense,16384,ls_p_20-22-24,0.5573,0.5613,1152,12
dense,16384,ls_p_2-3-4-5-6,0.7569,0.7471,1152,12
dense,16384,ls_p_6-10-15-19-24,0.6163,0.6109,1152,12
dense,16384,ls_p_19-21-22-23-25,0.296,0.2334,1152,12
dense,16384,ls_p_2-4-8-11-15-19-23,0.3516,0.3245,1152,12
dense,16384,ls_p_2-6-9-13-16-20-24,0.395,0.3803,1152,12
