model,ctx,arm,beta_greedy,overlap_t1,positions,prompts
dense,2048,win128,0.9839,0.9819,992,12
dense,2048,win512,0.9829,0.9842,992,12
dense,2048,win2048,0.996,0.9925,992,12
dense,2048,skip125,0.4667,0.3383,992,12
dense,2048,skip25,0.0867,0.0516,992,12
dense,2048,skip375,0.0474,0.0238,992,12
dense,2048,skip50,0.0262,0.0079,992,12
dense,2048,kvq_fp8,0.751,0.7459,992,12
dense,2048,q_int4,0.9325,0.9316,992,12
dense,2048,q_fp8,0.9839,0.9856,992,12
dense,16384,win128,0.9757,0.9778,1152,12
dense,16384,win512,0.9783,0.9799,1152,12
dense,16384,win2048,0.9826,0.9824,1152,12
dense,16384,skip125,0.4479,0.317,1152,12
dense,16384,skip25,0.0859,0.0554,1152,12
dense,16384,skip375,0.0434,0.0234,1152,12
dense,16384,skip50,0.0295,0.0136,1152,12
dense,16384,kvq_fp8,0.8411,0.8425,1152,12
dense,16384,q_int4,0.9236,0.9236,1152,12
dense,16384,q_fp8,0.9783,0.9846,1152,12
dense,32768,win128,0.9722,0.9773,1152,12
dense,32768,win512,0.9748,0.9791,1152,12
dense,32768,win2048,0.9809,0.981,1152,12
dense,32768,skip125,0.4531,0.3318,1152,12
dense,32768,skip25,0.1033,0.0588,1152,12
dense,32768,skip375,0.0486,0.0243,1152,12
dense,32768,skip50,0.0312,0.0117,1152,12
dense,32768,kvq_fp8,0.6042,0.6122,1152,12
dense,32768,q_int4,0.9332,0.9319,1152,12
dense,32768,q_fp8,0.98,0.9846,1152,12
moe,2048,win128,0.9488,0.9549,1152,12
moe,2048,win512,0.9531,0.9608,1152,12
moe,2048,win2048,0.987,0.9906,1152,12
moe,2048,skip125,0.7101,0.6978,1152,12
moe,2048,skip25,0.4028,0.3771,1152,12
moe,2048,skip375,0.2292,0.1665,1152,12
moe,2048,skip50,0.151,0.0965,1152,12
moe,2048,kvq_fp8,0.9818,0.9869,1152,12
moe,2048,lr25,0.7231,0.7215,1152,12
moe,2048,lr50,0.8368,0.8383,1152,12
moe,2048,q_int4,0.974,0.976,1152,12
moe,2048,q_fp8,0.9896,0.9919,1152,12
moe,16384,win128,0.9688,0.9705,1152,12
moe,16384,win512,0.9714,0.9718,1152,12
moe,16384,win2048,0.9748,0.9735,1152,12
moe,16384,skip125,0.6953,0.6814,1152,12
moe,16384,skip25,0.4115,0.3814,1152,12
moe,16384,skip375,0.2352,0.1706,1152,12
moe,16384,skip50,0.1536,0.0987,1152,12
moe,16384,kvq_fp8,0.9714,0.978,1152,12
moe,16384,lr25,0.6927,0.6907,1152,12
moe,16384,lr50,0.8264,0.8267,1152,12
moe,16384,q_int4,0.9722,0.974,1152,12
moe,16384,q_fp8,0.9931,0.9913,1152,12
moe,32768,win128,0.9783,0.9767,1152,12
moe,32768,win512,0.9826,0.9779,1152,12
moe,32768,win2048,0.9826,0.98,1152,12
moe,32768,skip125,0.7083,0.6987,1152,12
moe,32768,skip25,0.408,0.3796,1152,12
moe,32768,skip375,0.2274,0.1672,1152,12
moe,32768,skip50,0.1519,0.0949,1152,12
moe,32768,kvq_fp8,0.9766,0.9761,1152,12
moe,32768,lr25,0.697,0.6964,1152,12
moe,32768,lr50,0.8264,0.8301,1152,12
moe,32768,q_int4,0.9731,0.9743,1152,12
moe,32768,q_fp8,0.9896,0.9911,1152,12
